has_been_processed,match_type,file,diff_index,content,is_pattern_match,added_lines,removed_lines,total_lines
true,NO_MATCH,.github/workflows/ci.yml,1,--- a/.github/workflows/ci.yml$CR$+++ b/.github/workflows/ci.yml,1,1,2,
true,NO_MATCH,Dockerfile,1,--- a/Dockerfile$CR$+++ b/Dockerfile,1,1,2,
true,NO_MATCH,Gemfile,1,--- a/Gemfile$CR$+++ b/Gemfile,1,1,2,
true,NO_MATCH,Gemfile,2,"@@ -1,6 +1,7 @@$CR$ $CR$+ruby ""3.3.4""",1,0,4,
true,GEM_VERSION_INVESTIGATE,Gemfile,3,"@@ -14,6 +15,7 @@ gem ""devise"", ""4.9.3""               # ""4.7.1""$CR$+# gem ""observer"", ""0.1.2"" # RAILS 7",1,0,2,
true,GEM_VERSION_INVESTIGATE,Gemfile,4,"@@ -21,17 +23,20 @@ gem ""rswag-api"", ""~> 2.13.0""$CR$-gem ""groupdate"", ""4.1.2""$CR$-gem ""acts_as_commentable"", ""4.0.2""$CR$+# gem ""csv"", ""3.3.0"" # RAILS 7$CR$+gem ""groupdate"", ""6.4.0""$CR$+gem ""acts_as_commentable"", ""6.0.0"", git: ""https://github.com/alazycoder101/acts_as_commentable"" # ruby3 compatible$CR$+# gem ""drb"", ""2.2.1"" # RAILS 7$CR$+# gem ""skeptick"", ""0.2.1"" # RAILS 7",5,2,8,
true,GEM_VERSION_INVESTIGATE,Gemfile,5,"@@ -59,11 +64,12 @@ gem ""browser"", ""2.3.0""$CR$+# gem ""sassc"", ""2.1.0"" # RAILS 7$CR$-$CR$+gem ""matrix"", ""0.4.2""",2,1,4,
true,GEM_VERSION_INVESTIGATE,Gemfile,6,"@@ -71,7 +77,7 @@ gem ""flamegraph"", ""0.9.5""$CR$-gem ""css_parser"", ""1.5.0""$CR$+gem ""css_parser"", ""1.17.1""",1,1,3,
true,NO_MATCH,Gemfile,7,"@@ -80,7 +86,7 @@ gem ""thread-parent"", ""1.0.4""$CR$-gem ""attr_encrypted"", ""3.1.0""$CR$+gem ""attr_encrypted"", ""3.1.0"" # RAILS 7 - ""4.0.0""",1,1,3,
true,GEM_VERSION_INVESTIGATE,Gemfile,8,"@@ -93,7 +99,7 @@ gem ""htmlentities"", ""4.3.4""$CR$-gem ""net-sftp"", ""3.0.0""$CR$+gem ""net-sftp"", ""3.0.0"" # RAILS 7 - ""4.0.0""",1,1,3,
true,NO_MATCH,Gemfile.lock,1,--- a/Gemfile.lock$CR$+++ b/Gemfile.lock,1,1,2,
true,NO_MATCH,Gemfile.lock,2,"@@ -1,3 +1,9 @@$CR$+GIT$CR$+  remote: https://github.com/alazycoder101/acts_as_commentable$CR$+  revision: 1fb132ecb44ffd574871c116afad78e3d7151b28$CR$+  specs:$CR$+    acts_as_commentable (6.0.0)$CR$+",6,0,7,
true,NO_MATCH,Gemfile.lock,3,"@@ -66,7 +72,6 @@ GEM$CR$-    acts_as_commentable (4.0.2)",0,1,2,
true,GEM_VERSION_INVESTIGATE,Gemfile.lock,4,"@@ -121,12 +126,11 @@ GEM$CR$-    better_html (1.0.16)$CR$-      actionview (>= 4.0)$CR$-      activesupport (>= 4.0)$CR$+    better_html (2.1.1)$CR$+      actionview (>= 6.0)$CR$+      activesupport (>= 6.0)$CR$-      html_tokenizer (~> 0.0.6)",3,4,8,
true,NO_MATCH,Gemfile.lock,5,"@@ -135,7 +139,7 @@ GEM$CR$-    builder (3.2.4)$CR$+    builder (3.3.0)",1,1,3,
true,GEM_VERSION_INVESTIGATE,Gemfile.lock,6,"@@ -172,7 +176,7 @@ GEM$CR$-    concurrent-ruby (1.2.3)$CR$+    concurrent-ruby (1.3.4)",1,1,3,
true,NO_MATCH,Gemfile.lock,7,"@@ -182,7 +186,7 @@ GEM$CR$-    css_parser (1.5.0)$CR$+    css_parser (1.17.1)",1,1,3,
true,GEM_VERSION_INVESTIGATE,Gemfile.lock,8,"@@ -199,16 +203,15 @@ GEM$CR$-    erb_lint (0.1.3)$CR$+    erb_lint (0.6.0)$CR$-      better_html (~> 1.0.7)$CR$-      html_tokenizer$CR$+      better_html (>= 2.0.1)$CR$-      rubocop$CR$+      rubocop (>= 1)$CR$-    erubi (1.12.0)$CR$+    erubi (1.13.0)",4,5,10,
true,GEM_VERSION_INVESTIGATE,Gemfile.lock,9,"@@ -281,8 +284,8 @@ GEM$CR$-    groupdate (4.1.2)$CR$-      activesupport (>= 4.2)$CR$+    groupdate (6.4.0)$CR$+      activesupport (>= 6.1)",2,2,5,
true,NO_MATCH,Gemfile.lock,10,"@@ -293,14 +296,13 @@ GEM$CR$-    html_tokenizer (0.0.7)$CR$-    i18n (1.14.1)$CR$+    i18n (1.14.5)",1,2,4,
true,GEM_VERSION_INVESTIGATE,Gemfile.lock,11,"@@ -342,14 +344,15 @@ GEM$CR$+    matrix (0.4.2)$CR$-    mini_portile2 (2.8.5)$CR$-    minitest (5.22.2)$CR$+    mini_portile2 (2.8.7)$CR$+    minitest (5.25.1)",3,2,6,
true,NO_MATCH,Gemfile.lock,12,"@@ -373,7 +376,7 @@ GEM$CR$-    nokogiri (1.15.6)$CR$+    nokogiri (1.16.7)",1,1,3,
true,NO_MATCH,Gemfile.lock,13,"@@ -416,7 +419,7 @@ GEM$CR$-    parser (3.3.0.5)$CR$+    parser (3.3.5.0)",1,1,3,
true,NO_MATCH,Gemfile.lock,14,"@@ -455,7 +458,7 @@ GEM$CR$-    racc (1.7.3)$CR$+    racc (1.8.1)",1,1,3,
true,NO_MATCH,Gemfile.lock,15,"@@ -546,7 +549,7 @@ GEM$CR$-    rexml (3.2.6)$CR$+    rexml (3.3.7)",1,1,3,
true,NO_MATCH,Gemfile.lock,16,"@@ -579,7 +582,7 @@ GEM$CR$-    rubocop (1.60.2)$CR$+    rubocop (1.64.1)",1,1,3,
true,GEM_VERSION_INVESTIGATE,Gemfile.lock,17,"@@ -587,11 +590,11 @@ GEM$CR$-      rubocop-ast (>= 1.30.0, < 2.0)$CR$+      rubocop-ast (>= 1.31.1, < 2.0)$CR$-    rubocop-ast (1.30.0)$CR$-      parser (>= 3.2.1.0)$CR$+    rubocop-ast (1.32.3)$CR$+      parser (>= 3.3.1.0)",3,3,7,
true,GEM_VERSION_INVESTIGATE,Gemfile.lock,18,"@@ -706,14 +709,14 @@ GEM$CR$-    zeitwerk (2.6.13)$CR$+    zeitwerk (2.6.18)$CR$ $CR$ $CR$-  acts_as_commentable (= 4.0.2)$CR$+  acts_as_commentable (= 6.0.0)!",2,2,7,
true,NO_MATCH,Gemfile.lock,19,"@@ -742,10 +745,10 @@ DEPENDENCIES$CR$-  css_parser (= 1.5.0)$CR$+  css_parser (= 1.17.1)$CR$-  erb_lint (~> 0.1.3)$CR$+  erb_lint (~> 0.6.0)",2,2,5,
true,NO_MATCH,Gemfile.lock,20,"@@ -755,7 +758,7 @@ DEPENDENCIES$CR$-  groupdate (= 4.1.2)$CR$+  groupdate (= 6.4.0)",1,1,3,
true,NO_MATCH,Gemfile.lock,21,"@@ -770,6 +773,7 @@ DEPENDENCIES$CR$+  matrix (= 0.4.2)",1,0,2,
true,NO_MATCH,README.md,1,--- a/README.md$CR$+++ b/README.md,1,1,2,
true,NO_MATCH,README.md,2,"@@ -21,7 +21,7 @@ Updated as of March 28th 2024$CR$ $CR$-| Ruby       | 2.7.6   |$CR$+| Ruby       | 3.3.4 |",1,1,4,
true,NO_MATCH,app/controllers/activities_controller.rb,1,--- a/app/controllers/activities_controller.rb$CR$+++ b/app/controllers/activities_controller.rb,1,1,2,
true,HASH_SHORTHAND_SYNTAX,app/controllers/activities_controller.rb,2,"@@ -32,7 +32,7 @@ class ActivitiesController < ApplicationController$CR$-      render ""create"", locals: { activity: activity }$CR$+      render ""create"", locals: { activity: }",1,1,4,
true,NO_MATCH,app/controllers/admin/etl_status_controller.rb,1,--- a/app/controllers/admin/etl_status_controller.rb$CR$+++ b/app/controllers/admin/etl_status_controller.rb,1,1,2,
true,NO_MATCH,app/controllers/admin/tenant_status_controller.rb,1,--- a/app/controllers/admin/tenant_status_controller.rb$CR$+++ b/app/controllers/admin/tenant_status_controller.rb,1,1,2,
true,NO_MATCH,app/controllers/admin/tenants_controller.rb,1,--- a/app/controllers/admin/tenants_controller.rb$CR$+++ b/app/controllers/admin/tenants_controller.rb,1,1,2,
true,NO_MATCH,app/controllers/application_controller.rb,1,--- a/app/controllers/application_controller.rb$CR$+++ b/app/controllers/application_controller.rb,1,1,2,
true,NO_MATCH,app/controllers/assets_controller.rb,1,--- a/app/controllers/assets_controller.rb$CR$+++ b/app/controllers/assets_controller.rb,1,1,2,
true,HASH_SHORTHAND_SYNTAX,app/controllers/assets_controller.rb,2,"@@ -98,8 +98,8 @@ class AssetsController < ApplicationController$CR$ $CR$-                         category: category,$CR$-                         meta_data: meta_data,$CR$+                         category:,$CR$+                         meta_data:,",2,2,7,
true,HASH_SHORTHAND_SYNTAX,app/controllers/assets_controller.rb,3,"@@ -159,7 +159,7 @@ class AssetsController < ApplicationController$CR$-      @pending_attachment = PendingAttachment.create(uuid: params[:uuid], file_name: file_upload.original_filename, path: file_upload.path, complete: false, inline: inline)$CR$+      @pending_attachment = PendingAttachment.create(uuid: params[:uuid], file_name: file_upload.original_filename, path: file_upload.path, complete: false, inline:)",1,1,4,
true,HASH_SHORTHAND_SYNTAX,app/controllers/assets_controller.rb,4,"@@ -319,7 +319,7 @@ class AssetsController < ApplicationController$CR$-            invoice_id: invoice_id,$CR$+            invoice_id:,",1,1,3,
true,NO_MATCH,app/controllers/backups_controller.rb,1,--- a/app/controllers/backups_controller.rb$CR$+++ b/app/controllers/backups_controller.rb,1,1,2,
true,NO_MATCH,app/controllers/builds_controller.rb,1,--- a/app/controllers/builds_controller.rb$CR$+++ b/app/controllers/builds_controller.rb,1,1,2,
true,HASH_SHORTHAND_SYNTAX,app/controllers/builds_controller.rb,2,"@@ -7,7 +7,7 @@ class BuildsController < ApplicationController$CR$ $CR$-    @s3 = Aws::S3::Client.new(credentials: credentials, region: RegionConfig.require_value(""bucket_region""))$CR$+    @s3 = Aws::S3::Client.new(credentials:, region: RegionConfig.require_value(""bucket_region""))",1,1,5,
true,NO_MATCH,app/controllers/business_plans_controller.rb,1,--- a/app/controllers/business_plans_controller.rb$CR$+++ b/app/controllers/business_plans_controller.rb,1,1,2,
true,HASH_SHORTHAND_SYNTAX,app/controllers/business_plans_controller.rb,2,"@@ -229,7 +229,7 @@ class BusinessPlansController < ApplicationController$CR$ $CR$-      goal = @business_plan.business_plan_goals.where(kpi_name: kpi_name).first_or_create$CR$+      goal = @business_plan.business_plan_goals.where(kpi_name:).first_or_create",1,1,5,
true,HASH_SHORTHAND_SYNTAX,app/controllers/business_plans_controller.rb,3,"@@ -255,7 +255,7 @@ class BusinessPlansController < ApplicationController$CR$-        @business_plan.update(goal_forecast_gross: goal_forecast_gross_perc, goal_forecast_gross_value: goal_forecast_gross_value)$CR$+        @business_plan.update(goal_forecast_gross: goal_forecast_gross_perc, goal_forecast_gross_value:)",1,1,3,
true,HASH_SHORTHAND_SYNTAX,app/controllers/business_plans_controller.rb,4,"@@ -326,7 +326,7 @@ class BusinessPlansController < ApplicationController$CR$ $CR$-      goal.update(kpi_value: kpi_value)$CR$+      goal.update(kpi_value:)",1,1,5,
true,HASH_SHORTHAND_SYNTAX,app/controllers/business_plans_controller.rb,5,"@@ -607,7 +607,7 @@ class BusinessPlansController < ApplicationController$CR$ $CR$-    marketing_goal = BusinessPlanMarketingGoal.find_by(id: id)$CR$+    marketing_goal = BusinessPlanMarketingGoal.find_by(id:)",1,1,4,
true,NO_MATCH,app/controllers/calendars_controller.rb,1,--- a/app/controllers/calendars_controller.rb$CR$+++ b/app/controllers/calendars_controller.rb,1,1,2,
true,HASH_SHORTHAND_SYNTAX,app/controllers/calendars_controller.rb,2,"@@ -44,7 +44,7 @@ class CalendarsController < ApplicationController$CR$ $CR$-                                           current_user: current_user,$CR$+                                           current_user:,",1,1,4,
true,HASH_SHORTHAND_SYNTAX,app/controllers/calendars_controller.rb,3,"@@ -108,7 +108,7 @@ class CalendarsController < ApplicationController$CR$ $CR$-    @tenant.update(open_hours: open_hours)$CR$+    @tenant.update(open_hours:)",1,1,5,
true,NO_MATCH,app/controllers/campaigns_controller.rb,1,--- a/app/controllers/campaigns_controller.rb$CR$+++ b/app/controllers/campaigns_controller.rb,1,1,2,
true,HASH_SHORTHAND_SYNTAX,app/controllers/campaigns_controller.rb,2,"@@ -102,13 +102,13 @@ class CampaignsController < ApplicationController$CR$ $CR$-      @new_estimates = @campaign.new_contexts(Estimate, range: range, sales_rep_user_id: @sales_rep_user_id).to_a$CR$-      @new_orders    = @campaign.new_contexts(Order, range: range, sales_rep_user_id: @sales_rep_user_id).to_a$CR$+      @new_estimates = @campaign.new_contexts(Estimate, range:, sales_rep_user_id: @sales_rep_user_id).to_a$CR$+      @new_orders    = @campaign.new_contexts(Order, range:, sales_rep_user_id: @sales_rep_user_id).to_a$CR$-      @new_shipments = @campaign.new_contexts(Shipment, range: range, sales_rep_user_id: @sales_rep_user_id).to_a$CR$-      @new_orders    = @campaign.new_contexts(Sale, range: range, sales_rep_user_id: @sales_rep_user_id).to_a$CR$+      @new_shipments = @campaign.new_contexts(Shipment, range:, sales_rep_user_id: @sales_rep_user_id).to_a$CR$+      @new_orders    = @campaign.new_contexts(Sale, range:, sales_rep_user_id: @sales_rep_user_id).to_a$CR$-      @new_orders    = @campaign.new_contexts(Sale, range: range, sales_rep_user_id: @sales_rep_user_id).to_a$CR$+      @new_orders    = @campaign.new_contexts(Sale, range:, sales_rep_user_id: @sales_rep_user_id).to_a",5,5,13,
true,HASH_SHORTHAND_SYNTAX,app/controllers/campaigns_controller.rb,3,"@@ -306,9 +306,9 @@ class CampaignsController < ApplicationController$CR$-        test: test,$CR$+        test:,$CR$-        override_throttle: override_throttle$CR$+        override_throttle:",2,2,5,
true,HASH_SHORTHAND_SYNTAX,app/controllers/campaigns_controller.rb,4,"@@ -348,10 +348,10 @@ class CampaignsController < ApplicationController$CR$ $CR$-        test: test,$CR$+        test:,$CR$-        target_test_emails: target_test_emails,$CR$-        override_throttle_tenant_ids: override_throttle_tenant_ids$CR$+        target_test_emails:,$CR$+        override_throttle_tenant_ids:",3,3,8,
true,HASH_SHORTHAND_SYNTAX,app/controllers/campaigns_controller.rb,5,"@@ -493,7 +493,7 @@ class CampaignsController < ApplicationController$CR$-      template_merger = Campaign.merger(campaign: @campaign, tenant: @tenant, identity: identity, contact: @preview_for.try(:first))$CR$+      template_merger = Campaign.merger(campaign: @campaign, tenant: @tenant, identity:, contact: @preview_for.try(:first))",1,1,3,
