has_been_processed,match_type,file,diff_index,content,is_pattern_match,added_lines,removed_lines,total_lines
true,NO_MATCH,.github/workflows/ci.yml,1,--- a/.github/workflows/ci.yml$CR$+++ b/.github/workflows/ci.yml,1,1,2,
true,NO_MATCH,.rubocop.yml,1,--- a/.rubocop.yml$CR$+++ b/.rubocop.yml,1,1,2,
true,NO_MATCH,Dockerfile,1,--- a/Dockerfile$CR$+++ b/Dockerfile,1,1,2,
true,NO_MATCH,Gemfile,1,--- a/Gemfile$CR$+++ b/Gemfile,1,1,2,
true,NO_MATCH,Gemfile,2,"@@ -1,6 +1,7 @@$CR$ $CR$+ruby ""3.3.4""",1,0,4,
true,NO_MATCH,Gemfile,3,"@@ -14,6 +15,7 @@ gem ""devise"", ""4.9.3""               # ""4.7.1""$CR$+# gem ""observer"", ""0.1.2"" # RAILS 7",1,0,2,
true,NO_MATCH,Gemfile,4,"@@ -21,17 +23,20 @@ gem ""rswag-api"", ""~> 2.13.0""$CR$-gem ""groupdate"", ""4.1.2""$CR$-gem ""acts_as_commentable"", ""4.0.2""$CR$+# gem ""csv"", ""3.3.0"" # RAILS 7$CR$+gem ""groupdate"", ""6.4.0""$CR$+gem ""acts_as_commentable"", ""6.0.0"", git: ""https://github.com/alazycoder101/acts_as_commentable"" # ruby3 compatible$CR$+# gem ""drb"", ""2.2.1"" # RAILS 7$CR$+# gem ""skeptick"", ""0.2.1"" # RAILS 7",5,2,8,
true,NO_MATCH,Gemfile,5,"@@ -59,11 +64,12 @@ gem ""browser"", ""2.3.0""$CR$+# gem ""sassc"", ""2.1.0"" # RAILS 7$CR$-$CR$+gem ""matrix"", ""0.4.2""",2,1,4,
true,NO_MATCH,Gemfile,6,"@@ -71,7 +77,7 @@ gem ""flamegraph"", ""0.9.5""$CR$-gem ""css_parser"", ""1.5.0""$CR$+gem ""css_parser"", ""1.17.1""",1,1,3,
true,NO_MATCH,Gemfile,7,"@@ -80,7 +86,7 @@ gem ""thread-parent"", ""1.0.4""$CR$-gem ""attr_encrypted"", ""3.1.0""$CR$+gem ""attr_encrypted"", ""3.1.0"" # RAILS 7 - ""4.0.0""",1,1,3,
