| Code | Match Type               |
|------|--------------------------|
|  A   | NO_MATCH                  |

-------------------------------------------------------------------------------------------------------------------------
| File                                                                                                    | Processed | A   |
|---------------------------------------------------------------------------------------------------------|-----------|-----|
| .github/workflows/ci.yml                                                                                | Yes       |   1 |
| .rubocop.yml                                                                                            | Yes       |   1 |
| Dockerfile                                                                                              | Yes       |   1 |
| Gemfile                                                                                                 | Yes       |   7 |
| Gemfile.lock                                                                                            | No        |     |
| README.md                                                                                               | No        |     |
| app/controllers/admin/etl_status_controller.rb                                                          | No        |     |
| app/controllers/admin/tenant_status_controller.rb                                                       | No        |     |
| app/controllers/admin/tenants_controller.rb                                                             | No        |     |
| app/controllers/ai_controller.rb                                                                        | No        |     |
| app/controllers/application_controller.rb                                                               | No        |     |
| app/controllers/assets_controller.rb                                                                    | No        |     |
| app/controllers/backups_controller.rb                                                                   | No        |     |
| app/controllers/builds_controller.rb                                                                    | No        |     |
| app/controllers/calendars_controller.rb                                                                 | No        |     |
| app/controllers/campaigns_controller.rb                                                                 | No        |     |
| app/controllers/companies_controller.rb                                                                 | No        |     |
| app/controllers/company_targets_controller.rb                                                           | No        |     |
| app/controllers/concerns/create_api_log.rb                                                              | No        |     |
| app/controllers/concerns/estimate_archive_updateable.rb                                                 | No        |     |
| app/controllers/concerns/follow_up_updateable.rb                                                        | No        |     |
| app/controllers/concerns/home_page_dashboard.rb                                                         | No        |     |
| app/controllers/concerns/location_updateable.rb                                                         | No        |     |
| app/controllers/concerns/proof_date_updateable.rb                                                       | No        |     |
| app/controllers/concerns/wanted_by_updateable.rb                                                        | No        |     |
| app/controllers/enterprises/banners_controller.rb                                                       | No        |     |
| app/controllers/enterprises/budgets_controller.rb                                                       | No        |     |
| app/controllers/enterprises/images_controller.rb                                                        | No        |     |
| app/controllers/enterprises/interest_categories_controller.rb                                           | No        |     |
| app/controllers/enterprises/reports/ar_balance_controller.rb                                            | No        |     |
| app/controllers/enterprises/reports/contact_list_export_controller.rb                                   | No        |     |
| app/controllers/enterprises/tenants_controller.rb                                                       | No        |     |
| app/controllers/enterprises/users_controller.rb                                                         | No        |     |
| app/controllers/enterprises_controller.rb                                                               | No        |     |
| app/controllers/estimates_controller.rb                                                                 | No        |     |
| app/controllers/holidays_controller.rb                                                                  | No        |     |
| app/controllers/home_controller.rb                                                                      | No        |     |
| app/controllers/inquiries_controller.rb                                                                 | No        |     |
| app/controllers/inquiry_attachments_controller.rb                                                       | No        |     |
| app/controllers/job_results_controller.rb                                                               | No        |     |
| app/controllers/leads_dashboard_controller.rb                                                           | No        |     |
| app/controllers/orders_controller.rb                                                                    | No        |     |
| app/controllers/portal/attachment_controller.rb                                                         | No        |     |
| app/controllers/portal/estimate_controller.rb                                                           | No        |     |
| app/controllers/portal/estimates_controller.rb                                                          | No        |     |
| app/controllers/portal/orders_controller.rb                                                             | No        |     |
| app/controllers/portal/proof_controller.rb                                                              | No        |     |
| app/controllers/portal/proofs_controller.rb                                                             | No        |     |
| app/controllers/portal/sales_controller.rb                                                              | No        |     |
| app/controllers/portal/tasks_controller.rb                                                              | No        |     |
| app/controllers/prospect_status_items_controller.rb                                                     | No        |     |
| app/controllers/prospects_controller.rb                                                                 | No        |     |
| app/controllers/reports_controller.rb                                                                   | No        |     |
| app/controllers/sales_controller.rb                                                                     | No        |     |
| app/controllers/salestargets_controller.rb                                                              | No        |     |
| app/controllers/sessions_controller.rb                                                                  | No        |     |
| app/controllers/shipments_controller.rb                                                                 | No        |     |
| app/controllers/task_types_controller.rb                                                                | No        |     |
| app/controllers/tokens_controller.rb                                                                    | No        |     |
| app/controllers/tracker_controller.rb                                                                   | No        |     |
| app/controllers/users_controller.rb                                                                     | No        |     |
| app/decorators/email_decorator.rb                                                                       | No        |     |
| app/helpers/application_helper.rb                                                                       | No        |     |
| app/helpers/cogs_helper.rb                                                                              | No        |     |
| app/helpers/drop_button_helper.rb                                                                       | No        |     |
| app/helpers/job_helper.rb                                                                               | No        |     |
| app/interactors/inquiries/create.rb                                                                     | No        |     |
| app/jobs/common/qvinci_kpis.rb                                                                          | No        |     |
| app/jobs/event/opensearch_bulk_update_job.rb                                                            | No        |     |
| app/jobs/event/opensearch_touch.rb                                                                      | No        |     |
| app/jobs/event/update_company_consents.rb                                                               | No        |     |
| app/jobs/front_end/ai/prompt_stream_job.rb                                                              | No        |     |
| app/jobs/front_end/send_enterprise_campaign_job.rb                                                      | No        |     |
| app/jobs/pack_and_send/etl/perform_closeout_job.rb                                                      | No        |     |
| app/jobs/schedule_job.rb                                                                                | No        |     |
| app/models/activity.rb                                                                                  | No        |     |
| app/models/ai_response.rb                                                                               | No        |     |
| app/models/asset.rb                                                                                     | No        |     |
| app/models/background_job.rb                                                                            | No        |     |
| app/models/budget.rb                                                                                    | No        |     |
| app/models/calendar.rb                                                                                  | No        |     |
| app/models/calendar_entry_deletion.rb                                                                   | No        |     |
| app/models/campaign_message.rb                                                                          | No        |     |
| app/models/case.rb                                                                                      | No        |     |
| app/models/company.rb                                                                                   | No        |     |
| app/models/concerns/daily_cacheable.rb                                                                  | No        |     |
| app/models/concerns/jsonb_store.rb                                                                      | No        |     |
| app/models/contact.rb                                                                                   | No        |     |
| app/models/custom_form.rb                                                                               | No        |     |
| app/models/custom_form_response.rb                                                                      | No        |     |
| app/models/daily_cache.rb                                                                               | No        |     |
| app/models/deployment.rb                                                                                | No        |     |
| app/models/email.rb                                                                                     | No        |     |
| app/models/email_attachment.rb                                                                          | No        |     |
| app/models/email_log.rb                                                                                 | No        |     |
| app/models/email_message.rb                                                                             | No        |     |
| app/models/email_template.rb                                                                            | No        |     |
| app/models/email_template_field.rb                                                                      | No        |     |
| app/models/email_validation.rb                                                                          | No        |     |
| app/models/estimate.rb                                                                                  | No        |     |
| app/models/etl_state.rb                                                                                 | No        |     |
| app/models/identity.rb                                                                                  | No        |     |
| app/models/inquiry.rb                                                                                   | No        |     |
| app/models/job.rb                                                                                       | No        |     |
| app/models/job_schedule.rb                                                                              | No        |     |
| app/models/lead_type.rb                                                                                 | No        |     |
| app/models/meeting.rb                                                                                   | No        |     |
| app/models/order.rb                                                                                     | No        |     |
| app/models/original_user.rb                                                                             | No        |     |
| app/models/pdf.rb                                                                                       | No        |     |
| app/models/pdfs/business_plan.rb                                                                        | No        |     |
| app/models/pending_attachment.rb                                                                        | No        |     |
| app/models/phone_call_data.rb                                                                           | No        |     |
| app/models/production_location.rb                                                                       | No        |     |
| app/models/proof.rb                                                                                     | No        |     |
| app/models/prospect_status.rb                                                                           | No        |     |
| app/models/prospect_status_item.rb                                                                      | No        |     |
| app/models/prospect_status_item_contact.rb                                                              | No        |     |
| app/models/region_config.rb                                                                             | No        |     |
| app/models/sale.rb                                                                                      | No        |     |
| app/models/sale_stats.rb                                                                                | No        |     |
| app/models/sales_rep.rb                                                                                 | No        |     |
| app/models/sales_summary.rb                                                                             | No        |     |
| app/models/salestarget.rb                                                                               | No        |     |
| app/models/shipment.rb                                                                                  | No        |     |
| app/models/shipment_stats.rb                                                                            | No        |     |
| app/models/short_url.rb                                                                                 | No        |     |
| app/models/statistic.rb                                                                                 | No        |     |
| app/models/tag_category.rb                                                                              | No        |     |
| app/models/task.rb                                                                                      | No        |     |
| app/models/template.rb                                                                                  | No        |     |
| app/models/template_merger.rb                                                                           | No        |     |
| app/models/tenant.rb                                                                                    | No        |     |
| app/models/token.rb                                                                                     | No        |     |
| app/models/tracker.rb                                                                                   | No        |     |
| app/models/user.rb                                                                                      | No        |     |
| app/models/user_config.rb                                                                               | No        |     |
| app/models/utils/calculate_wip.rb                                                                       | No        |     |
| app/models/utils/data_generation.rb                                                                     | No        |     |
| app/models/utils/pdf.rb                                                                                 | No        |     |
| app/presenters/admin/etl_status_presenter.rb                                                            | No        |     |
| app/presenters/admin/job_index_presenter.rb                                                             | No        |     |
| app/presenters/company_analysis_csv_presenter.rb                                                        | No        |     |
| app/presenters/company_analysis_os_csv_presenter.rb                                                     | No        |     |
| app/presenters/company_analysis_presenter.rb                                                            | No        |     |
